title,by,author,date-read,year
An Officer and a Spy,by,Robert Harris,2019-01-24,2019
Confessions of Felix Krull Confidence Man,by,Thomas Mann,2019-01-10,2019
Thanks for Nothing,by,Jack Dee,2018-12-31,2018
Please Mister Postman,by,Alan Johnson,2018-12-26,2018
The Brooklyn Follies,by,Paul Auster,2018-12-22,2018
Super-Cannes,by,J G Ballard,2018-12-10,2018
A Happy Death,by,Albert Camus,2018-12-02,2018
Wonder Boys,by,Michael Chabon,2018-11-28,2018
Moon Palace,by,Paul Auster,2018-11-19,2018
The Redeemer Harry Hole 6,by,Jo Nesbo,2018-11-10,2018
The Dark Heart,by,Joakim Palmkvist,2018-11-01,2018
The Adulterous Woman,by,Albert Camus,2018-10-12,2018
The Vegetarian,by,Han Kang,2018-10-09,2018
Fool Me Once,by,Harlan Coben,2018-09-28,2018
A Drink Before the War,by,Dennis Lehane,2018-09-22,2018
The Climb The Autobiography,by,Chris Froome,2018-09-15,2018
The High Druids Blade The Defenders of Shannara,by,Terry Brooks,2018-09-02,2018
Two Kinds of Truth,by,Michael Connelly,2018-08-23,2018
Snow Crash,by,Neal Stephenson,2018-08-13,2018
The Racketeer,by,John Grisham,2018-07-30,2018
Holding,by,Graham Norton,2018-07-23,2018
The Devils Star Harry Hole 5,by,Jo Nesbo,2018-07-14,2018
A Moment Of War,by,Laurie Lee,2018-07-04,2018
Men at Arms,by,Terry Pratchett,2018-06-26,2018
Endurance A Year in Space A Life time of Discovery,by,Scott Kelly,2018-06-17,2018
The Last Thing She Ever Did,by,Gregg Olesn,2018-06-07,2018
A Full Life Reflections At Ninety,by,Jimmy Carter,2018-06-08,2018
One Mile Deep,by,Solomon Carter,2018-05-29,2018
Ready Player One,by,Ernest Cline,2018-05-25,2018
As I Walked Out One Summer Morning,by,Laurie Lee,2018-05-16,2018
Out with a Bang,by,Solomon Carter,2018-05-10,2018
The Crow Girl,by,Eric Axl Sund,2018-05-07,2018
Bicycle Diaries,by,David Byrne,2018-04-11,2018
The 13th Valley,by,John M Del Vecchio,2018-04-04,2018
Cider With Rosie,by,Laurie Lee,2018-02-27,2018
End of Watch,by,Stephen King,2018-02-12,2018
Re: Cyclists: 200 Years on Two Wheels,by,Michael Hutchison,2018-01-31,2018
Sleepyhead,by,Mark Billingham,2018-01-14,2018
Get Me the Urgent Biscuits: An Assistant’s Adventures in Theatreland,by,Sweetpea Slight,2017-12-31,2017
Don't Let it Go,by,Harlan Coben,2017-12-29,2017
Sockpuppet,by,Matthew Blakstad,2017-12-24,2017
Love and Other Wounds,by,Jordan Harper,2017-12-10,2017
Home,by,Harlan Coben,2017-12-05,2017
Finders Keepers,by,Stephen King,2017-11-28,2017
Finding Gobi,by,Dion Leonard,2017-11-17,2017
Italian Shoes,by,Henning Mankell,2017-11-01,2017
A Cross To Bear,by,Vince Vogel,2017-11-01,2017
11.22.63,by,Stephen King,2017-10-07,2017
Soho Dead,by,Greg Keen,2017-08-29,2017
Triumphs and Turbulence: My Autobiography,by,Chris Boardman,2017-08-21,2017
Ajax Penumbra: 1969,by,Robin Sloan,2017-08-16,2017
The Truth Will Out,by,Jane Isaac,2017-08-14,2017
Mr Mercedes,by,Stephen King,2017-08-06,2017
Grey Mountian,by,John Grisham,2017-07-26,2017
An Unfamiliar Murder,by,Jane Isaac,2017-07-12,2017
The Doper Next Door,by,Andrew Tilin,2017-07-03,2017
The Poet,by,Michael Connelly,2017-06-21,2017
Barry Sheen 1950 - 2003,by,Stuart Barker,2017-06-10,2017
Stalker,by,Chris Walker,2017-06-03,2017
Cloud Atlas,by,David Mitchell,2017-05-25,2017
Mr Penumbra's 24-hour Bookstore,by,Robin Sloan,2017-05-03,2017
My Own Kind of Freedom,by,Steven Brust,2017-04-25,2017
Little Brother,by,Cory Doctorow,2017-04-23,2017
Digital Fortress,by,Dan Brown,2017-04-15,2017
Worms to Catch,by,Guy Martin,2017-04-15,2017
American Gods,by,Neil Gaiman,2017-04-13,2017
A Brief History of Time,by,Stephen Hawking,2017-03-16,2017
